name,country,is_software,is_b2b,founded_year,product_desc,vertical,num_competitors,customer_count,revenue_concentration,founder_background,employee_count,registry_revenue,pricing_model,g2_long_tenure,recent_funding,founder_age_signal
HealthcareCore01,Vietnam,TRUE,TRUE,2008,"Phan mem quan ly benh an va lich hen, dung hang ngay trong van hanh phong kham",Healthcare,3,150,low,12 nam trong nganh truoc khi lap cong ty,8,1800000,freemium,TRUE,FALSE,senior
ConstructionPro02,Thailand,TRUE,TRUE,2008,Phan mem quan ly du an xay dung va tien do cong trinh,Construction,12,30,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",,,one_time,TRUE,FALSE,young
PharmaHub03,Thailand,TRUE,TRUE,2006,Phan mem quan ly kho va phan phoi cho chuoi nha thuoc,Pharma Distribution,2,200,med,12 nam trong nganh truoc khi lap cong ty,30,,hybrid,TRUE,FALSE,young
RealHub04,Vietnam,TRUE,TRUE,2007,Phan mem quan ly bat dong san va giao dich cho moi gioi,Real Estate,5,200,low,Cuu bac si 15 nam roi lap cong ty,30,2400000,subscription,FALSE,FALSE,mid
EducationCore05,Malaysia,TRUE,TRUE,2007,"Phan mem quan ly truong hoc, cot loi cho van hanh dao tao",Education,5,200,med,Chuyen gia nganh hon 8 nam,30,,subscription,TRUE,FALSE,senior
PharmaSys06,Philippines,TRUE,TRUE,2011,Phan mem quan ly kho va phan phoi cho chuoi nha thuoc,Pharma Distribution,20,150,med,Cuu bac si 15 nam roi lap cong ty,8,,freemium,FALSE,FALSE,
RealPro07,Indonesia,TRUE,TRUE,2013,Phan mem quan ly bat dong san va giao dich cho moi gioi,Real Estate,3,200,low,12 nam trong nganh truoc khi lap cong ty,110,,subscription,,FALSE,mid
HRSys08,Singapore,TRUE,TRUE,2006,Phan mem quan ly nhan su va tinh luong cho doanh nghiep,HR Tech,40,30,low,Chuyen gia nganh hon 8 nam,15,,freemium,TRUE,TRUE,young
LegalPlus09,Thailand,TRUE,TRUE,2006,Phan mem quan ly ho so va vu viec cho cong ty luat,Legal,5,55,low,12 nam trong nganh truoc khi lap cong ty,8,,subscription,TRUE,FALSE,mid
RealPro10,Singapore,TRUE,TRUE,2014,Phan mem quan ly bat dong san va giao dich cho moi gioi,Real Estate,40,55,high,Cuu bac si 15 nam roi lap cong ty,22,,one_time,TRUE,TRUE,mid
AgricultureHub11,Vietnam,TRUE,TRUE,2008,Phan mem quan ly chuoi cung ung nong san cho doanh nghiep,Agriculture,20,55,low,Cuu bac si 15 nam roi lap cong ty,110,2100000,subscription,FALSE,FALSE,senior
LegalHub12,Malaysia,TRUE,TRUE,2011,Phan mem quan ly ho so va vu viec cho cong ty luat,Legal,2,55,high,Chuyen gia nganh hon 8 nam,70,,freemium,TRUE,FALSE,senior
F&BFlow13,Vietnam,TRUE,TRUE,2005,Phan mem quan ly chuoi nha hang va dat ban,F&B,4,30,low,Cuu bac si 15 nam roi lap cong ty,70,3000000,one_time,FALSE,,senior
HRCore14,Thailand,TRUE,TRUE,2008,Phan mem quan ly nhan su va tinh luong cho doanh nghiep,HR Tech,12,55,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",110,,subscription,FALSE,FALSE,young
HRSys15,Thailand,TRUE,TRUE,2014,Phan mem quan ly nhan su va tinh luong cho doanh nghiep,HR Tech,12,80,med,Cuu bac si 15 nam roi lap cong ty,45,,subscription,TRUE,FALSE,senior
F&BFlow16,Singapore,TRUE,TRUE,2014,Phan mem quan ly chuoi nha hang va dat ban,F&B,8,150,,Chuyen gia nganh hon 8 nam,,,subscription,TRUE,FALSE,mid
LogisticsPro17,Vietnam,TRUE,TRUE,2017,Phan mem dieu phoi xe va theo doi don hang cho cong ty logistics,Logistics,4,120,med,Cuu bac si 15 nam roi lap cong ty,15,2400000,subscription,FALSE,FALSE,young
DentalPro18,Singapore,TRUE,TRUE,2019,"Phan mem quan ly phong kham nha khoa, dung trong van hanh hang ngay",Dental,4,,med,Chuyen gia nganh hon 8 nam,110,,subscription,FALSE,FALSE,senior
AccountingCore19,Malaysia,TRUE,TRUE,2019,Phan mem ke toan va quan ly tai chinh doanh nghiep,Accounting,5,,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",110,,freemium,FALSE,FALSE,mid
HealthcareSys20,Indonesia,TRUE,TRUE,2017,"Phan mem quan ly benh an va lich hen, dung hang ngay trong van hanh phong kham",Healthcare,20,80,med,Cuu bac si 15 nam roi lap cong ty,45,,subscription,TRUE,TRUE,young
AccountingOne21,Singapore,TRUE,TRUE,2013,Phan mem ke toan va quan ly tai chinh doanh nghiep,Accounting,12,150,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",70,,one_time,FALSE,FALSE,mid
PharmaCore22,Vietnam,TRUE,TRUE,2016,Phan mem quan ly kho va phan phoi cho chuoi nha thuoc,Pharma Distribution,2,80,high,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",30,,freemium,FALSE,FALSE,young
LogisticsHub23,Thailand,TRUE,TRUE,2018,Phan mem dieu phoi xe va theo doi don hang cho cong ty logistics,Logistics,8,55,,12 nam trong nganh truoc khi lap cong ty,45,,subscription,FALSE,TRUE,mid
ManufacturingSoft24,Vietnam,TRUE,TRUE,2019,Phan mem quan ly san xuat va ton kho cho nha may,Manufacturing,3,120,,12 nam trong nganh truoc khi lap cong ty,8,,one_time,FALSE,FALSE,young
DentalPlus25,Philippines,TRUE,TRUE,2014,"Phan mem quan ly phong kham nha khoa, dung trong van hanh hang ngay",Dental,40,120,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",45,,subscription,TRUE,FALSE,mid
EducationPro26,Vietnam,TRUE,TRUE,2014,"Phan mem quan ly truong hoc, cot loi cho van hanh dao tao",Education,5,30,med,,110,2100000,freemium,TRUE,TRUE,senior
GovernmentOne27,Indonesia,TRUE,TRUE,2019,Phan mem quan ly thu tuc hanh chinh cho co quan nha nuoc,Government,20,150,low,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",8,,one_time,TRUE,TRUE,mid
LogisticsOne28,Vietnam,TRUE,TRUE,2014,Phan mem dieu phoi xe va theo doi don hang cho cong ty logistics,Logistics,4,30,med,"Cuu giam doc van hanh nganh, 10 nam kinh nghiem",30,,one_time,TRUE,TRUE,mid
GovernmentSoft29,Vietnam,TRUE,TRUE,2019,Phan mem quan ly thu tuc hanh chinh cho co quan nha nuoc,Government,5,30,low,Cuu bac si 15 nam roi lap cong ty,15,2100000,hybrid,TRUE,TRUE,senior
