Ten cong ty,Quoc gia,Nganh (vertical),Tier,Diem/Priority,Coverage,Confidence,Tieu chi thieu,Hanh dong de xuat,Ghi chu
F&BFlow16,Singapore,F&B,A,92/100,87%,Trung binh,"A3b, B1",Tiep can ngay,92/100 (coverage 87%)
RealPro07,Indonesia,Real Estate,A,92/100,85%,Trung binh,B3,Tiep can ngay,92/100 (coverage 85%)
EducationCore05,Malaysia,Education,A,91/100,100%,Trung binh,,Tiep can ngay,91/100 (coverage 100%)
HRSys15,Thailand,HR Tech,A,91/100,100%,Trung binh,,Tiep can ngay,91/100 (coverage 100%)
F&BPro51,Singapore,F&B,A,88/100,85%,Trung binh,"B4, C2",Tiep can ngay,88/100 (coverage 85%)
DentalPlus25,Philippines,Dental,A,85/100,100%,Trung binh,,Tiep can ngay,85/100 (coverage 100%)
LegalPlus09,Thailand,Legal,A,84/100,100%,Trung binh,,Tiep can ngay,84/100 (coverage 100%)
RealHub04,Vietnam,Real Estate,A,83/100,100%,Trung binh,,Tiep can ngay,83/100 (coverage 100%)
AgricultureHub11,Vietnam,Agriculture,A,83/100,100%,Trung binh,,Tiep can ngay,83/100 (coverage 100%)
HealthcareCore01,Vietnam,Healthcare,A,81/100,100%,Trung binh,,Tiep can ngay,81/100 (coverage 100%)
LegalHub12,Malaysia,Legal,A,81/100,100%,Trung binh,,Tiep can ngay,81/100 (coverage 100%)
AccountingPlus42,Vietnam,Accounting,B-ready,97/100,65%,Trung binh,"A3a, A3b, A4, B1, B4, C2",Tiep can sau nhom A,97/100 (coverage 65%)
EducationPro48,Singapore,Education,B-ready,96/100,70%,Trung binh,"B2, B4, C2",Tiep can sau nhom A,96/100 (coverage 70%)
HRSys43,Vietnam,HR Tech,B-ready,91/100,77%,Trung binh,"A3b, A4, B4, C2",Tiep can sau nhom A,91/100 (coverage 77%)
AgriculturePro56,Singapore,Agriculture,B-ready,90/100,70%,Trung binh,"B2, B4, C2",Tiep can sau nhom A,90/100 (coverage 70%)
ConstructionSoft33,Vietnam,Construction,B-ready,87/100,70%,Trung binh,"A4, B4, C1, C2",Tiep can sau nhom A,87/100 (coverage 70%)
ConstructionSoft38,Vietnam,Construction,B-ready,83/100,65%,Trung binh,"B1, B4, C1, C2",Tiep can sau nhom A,83/100 (coverage 65%)
ManufacturingPro46,Vietnam,Manufacturing,B-ready,83/100,75%,Trung binh,"B1, B4, C1",Tiep can sau nhom A,83/100 (coverage 75%)
DentalPro18,Singapore,Dental,B-ready,79/100,98%,Trung binh,A3a,Tiep can sau nhom A,79/100 (coverage 98%)
PharmaSoft40,Vietnam,Pharma Distribution,B-ready,78/100,73%,Trung binh,"A3a, B1, B4, C2",Tiep can sau nhom A,78/100 (coverage 73%)
PharmaHub03,Thailand,Pharma Distribution,B-ready,78/100,100%,Trung binh,,Tiep can sau nhom A,78/100 (coverage 100%)
